product_id,name,category,brand,price,color,size
1,Product ZV66,Toys,Brand E,84.03,White,XXL
2,Product IQWG,Books,Brand C,81.81,White,M
3,Product S13C,Toys,Brand E,159.35,,
4,Product 3NMK,Home,Brand B,41.26,White,XL
5,Product PJFG,Clothing,Brand B,99.11,White,
6,Product ZHSY,Books,Brand E,152.75,White,XXL
7,Product JKRM,Electronics,Brand B,149.0,Green,XL
8,Product IJLY,Books,Brand C,128.85,Green,M
9,Product GTJA,Electronics,Brand B,93.33,Black,S
10,Product HN8B,Toys,Brand C,83.99,Blue,XXL
11,Product MNMO,Clothing,Brand B,102.13,,XL
12,Product VWRE,Books,Brand E,119.3,Black,XXL
13,Product B9L2,Books,Brand B,151.98,Blue,M
14,Product QS0N,Home,Brand D,70.87,Blue,XL
15,Product 4WOY,Home,Brand C,71.91,Blue,L
16,Product CM2H,Electronics,Brand D,55.94,Green,M
17,Product 5BQK,Home,Brand B,98.45,Red,XXL
18,Product SMQI,Toys,Brand A,126.43,White,M
19,Product DYLE,Clothing,Brand B,95.37,Red,XXL
20,Product GV2Q,Books,Brand A,108.04,White,L
21,Product C8OG,Clothing,Brand B,118.45,,
22,Product IDFQ,Toys,Brand E,90.79,,XL
23,Product 1ZE9,Toys,Brand B,53.8,Green,
24,Product XC20,Electronics,Brand B,56.05,White,XXL
25,Product ZR9H,Toys,Brand B,86.84,Black,XL
26,Product ZQQC,Toys,Brand B,95.04,Blue,S
27,Product G35T,Home,Brand D,66.83,White,
28,Product U8K5,Clothing,Brand C,103.18,Green,L
29,Product YUXW,Clothing,Brand D,99.83,,
30,Product BHY7,Books,Brand E,134.29,Black,S
31,Product CTOB,Home,Brand C,110.04,White,L
32,Product 0X8Q,Electronics,Brand E,65.98,Blue,XL
33,Product 7CS9,Toys,Brand B,86.51,Green,M
34,Product 1GJ0,Electronics,Brand E,124.02,Black,L
35,Product JYQV,Books,Brand E,120.09,White,
36,Product 3IEH,Home,Brand A,115.51,,XL
37,Product KZA7,Home,Brand A,107.75,Black,S
38,Product C5D0,Books,Brand B,93.43,,L
39,Product W40V,Clothing,Brand D,85.16,White,L
40,Product MCJJ,Home,Brand D,85.09,Blue,S
41,Product DPXH,Electronics,Brand E,104.48,Green,XL
42,Product JEXY,Electronics,Brand D,81.43,,XXL
43,Product VLPP,Toys,Brand D,83.56,White,M
44,Product D2L3,Toys,Brand A,60.61,Red,L
45,Product CYGP,Clothing,Brand D,128.51,Green,S
46,Product A49Z,Books,Brand C,75.35,Red,M
47,Product YZHR,Home,Brand C,118.36,Green,L
48,Product YJI0,Toys,Brand D,136.13,,XL
49,Product ESCI,Books,Brand A,174.25,Blue,
50,Product XF7C,Electronics,Brand D,69.57,Blue,M
51,Product 4BEX,Clothing,Brand C,101.31,Blue,L
52,Product 3HYA,Clothing,Brand C,62.2,Blue,S
53,Product K3JP,Electronics,Brand E,88.73,Black,XL
54,Product M6DY,Electronics,Brand B,110.9,Green,XXL
55,Product 58KD,Books,Brand C,95.76,Red,XL
56,Product 6HJ6,Books,Brand D,92.16,Red,XXL
57,Product X9XO,Toys,Brand C,89.78,White,XL
58,Product MVJO,Toys,Brand E,126.42,Red,L
59,Product 3HLF,Clothing,Brand C,142.59,White,L
60,Product KW5J,Home,Brand C,96.32,,S
61,Product TAOO,Home,Brand E,126.58,Black,S
62,Product SRR3,Books,Brand B,92.62,Blue,L
63,Product I124,Electronics,Brand B,106.23,Green,XXL
64,Product DE88,Books,Brand A,136.6,Green,XL
65,Product CW71,Clothing,Brand A,150.01,Green,L
66,Product AGTS,Home,Brand A,77.12,Blue,
67,Product 0RLC,Books,Brand A,122.34,Black,S
68,Product LVMH,Books,Brand D,107.96,,S
69,Product M6Y5,Electronics,Brand D,61.87,Black,XL
70,Product 2D9G,Electronics,Brand D,69.64,White,
71,Product 6NIV,Home,Brand D,150.32,Black,L
72,Product ST7K,Books,Brand A,74.54,Black,M
73,Product IMI7,Electronics,Brand A,111.41,Green,XXL
74,Product GR2B,Toys,Brand E,169.74,Blue,M
75,Product 8ILU,Books,Brand B,46.53,,L
76,Product Z065,Books,Brand D,108.91,Red,S
77,Product MLNC,Books,Brand A,83.14,Blue,XL
78,Product KJ9C,Toys,Brand B,127.09,Black,S
79,Product PIK2,Electronics,Brand C,109.87,Black,M
80,Product VTUZ,Toys,Brand E,51.57,Red,
81,Product 39Z6,Electronics,Brand D,122.11,Green,L
82,Product 7UU8,Electronics,Brand E,111.81,White,S
83,Product MCR1,Home,Brand A,106.13,Red,
84,Product 62XR,Electronics,Brand C,86.91,Black,M
85,Product ZEU6,Toys,Brand C,115.25,White,XL
